Code,Country,Obesity_Percentage,Population,Mean_BMI,id,Malnutrition_Percentage,Underweight_Percentage,Per_Capita_Wastage,Total_Wastage,Daily_Spend,Cost_Meat,Cost_Fruit,Cost_Lentils,Cost_Oils,Cost_StarchyStaples,Cost_Vegetables,Unaffordability,Continent
AFG,Afghanistan,19.2,41128771,23.4,4,30.4,6.9,122.6251011,5229654,0,0,0,0,0,0,0,0,Asia
ALB,Albania,23.4,2777689,26.7,8,4.5,1.3,87.27720148,243657,12.064707,1.15,0.78,0.42,0.11,0.48,0.61,400000,Europe
DZA,Algeria,23.8,44903225,25.5,12,2.5,4.4,108.0419658,5057909,8.043594,1.33,1.07,0.57,0.15,0.54,0.7,8300000,Africa
ASM,American Samoa,75.2,44273,0,16,0,0.3,69.66748637,3258,0,0,0,0,0,0,0,0,Oceania
AND,Andorra,18.1,79824,26.7,20,0,2.4,80.52429886,6598,0,0,0,0,0,0,0,0,Europe
AGO,Angola,11.5,35588987,23.3,24,23.2,9.9,83.72398102,3171950,3.4205022,1.12,0.73,0.41,0.2,1.12,0.43,24700000,Africa
ATG,Antigua and Barbuda,33.3,93763,26.7,28,0,4.7,84.48150834,7922,0,0.73,1.45,0.44,0.12,0.61,1.14,0,North America
ARG,Argentina,35.4,46234830,27.7,32,3.2,1.6,90.96594465,4156798,17.290493,0,0,0,0,0,0,0,South America
ARM,Armenia,24.5,2780469,26.3,51,1.7,2.7,95.23780701,283222,6.7156725,1,0.88,0.39,0.24,0.57,0.58,1500000,Europe
AUS,Australia,30.2,26014399,27.1,36,1.7,1.5,95.79777039,2559065,53.050495,0.49,0.77,0.27,0.08,0.25,0.72,800000,Oceania
AUT,Austria,15.4,9041851,25.6,40,1.7,1.9,81.35461653,742020,58.25852,0.55,0.72,0.1,0.06,0.27,0.73,300000,Europe
AZE,Azerbaijan,26.5,10141756,27.1,31,1.7,2.3,102.1092042,1055462,8.059334,1.04,0.63,0.35,0.18,0.65,0.44,100000,Europe
BHS,The Bahamas,47.3,409984,28,44,0,3.4,89.93403658,36089,0,0,0,0,0,0,0,0,North America
BHR,Bahrain,36.1,1472233,24.8,48,0,2.7,120.4766498,193612,0,1.16,0.46,0.51,0.17,0.53,0.83,0,Asia
BGD,Bangladesh,5.3,171186372,21.7,50,11.9,13.6,81.25025063,14101956,4.7816916,1.37,0.58,0.23,0.12,0.4,0.67,87600000,Asia
BRB,Barbados,38,281635,27.8,52,3.5,3.2,87.25267022,24646,0,0,0,0,0,0,0,0,North America
BLR,Belarus,21.4,9228071,26.6,112,1.5,1.8,74.43152583,674104,17.238052,0.87,0.97,0.27,0.21,0.61,0.5,100000,Europe
BEL,Belgium,20,11685814,26.1,56,1.5,1.8,70.52339251,827860,54.49564,0.54,0.76,0.11,0.05,0.22,0.64,100000,Europe
BLZ,Belize,42.3,405272,29.1,84,4.6,2.4,51.78002839,21596,4.6116567,0.71,0.23,0.28,0.1,0.53,0.98,300000,North America
BEN,Benin,11.2,13352864,23.5,204,10.3,8,82.26790295,1189816,4.0014644,1.15,0.38,0.31,0.19,0.61,0.6,7800000,Africa
BMU,Bermuda,33,63595,0,60,0,4.5,72.9933783,4718,0,0.62,0.26,0.23,0.11,0.5,0.74,0,North America
BTN,Bhutan,12.2,782455,23.9,64,0,3.3,19.04174731,15072,13.86247,1.34,1.45,0.4,0.25,0.56,0.95,200000,Asia
BOL,Bolivia,28.7,12224110,26.6,68,23,1.8,88.74553906,1101625,14.911999,1.21,0.65,0.39,0.17,0.76,0.69,1100000,South America
BIH,Bosnia and Herzegovina,21.2,3233526,25.8,70,1,1.8,87.57746701,277117,17.60119,1.02,0.74,0.62,0.37,0.65,1.18,200000,Europe
BWA,Botswana,18.3,2630296,24.3,72,24.3,12.7,52.59287465,132594,4.842955,1.16,0.42,0.46,0.16,0.55,0.56,1600000,Africa
BRA,Brazil,28.1,215313498,26.6,76,3.9,2.7,95.70625333,20289630,12.991237,0.83,0.65,0.94,0.13,0.62,0.67,64700000,South America
BRN,Brunei,31.7,449002,27.2,96,0,3.5,73.71396587,34109,0,1.2,0.86,0.46,0.12,0.63,1.2,0,Asia
BGR,Bulgaria,20.6,6465097,26.4,100,1.5,2.5,26.08583702,176280,23.402508,0.98,0.87,0.42,0.14,0.68,0.86,400000,Europe
BFA,Burkina Faso,6.7,22673762,22.2,854,15.4,11.4,88.56544707,2085610,3.1207023,0.94,0.4,0.34,0.23,0.55,0.58,13100000,Africa
BDI,Burundi,5,12889576,21.7,108,0,15.8,84.41627871,1185863,1.795875,1.58,0.45,0.25,0.14,0.67,0.42,11100000,Africa
CPV,Cape Verde,15.8,593149,24.5,132,12.6,5.3,100.1834716,52584,6.7278094,0.86,0.61,0.34,0.14,0.42,1.16,200000,Africa
KHM,Cambodia,4.4,16767842,22.2,116,4.6,11.4,80.49476155,1419831,0,1.14,0.6,0.43,0.26,0.67,1.09,0,Asia
CMR,Cameroon,14.9,27914536,24.3,120,5.7,6.2,85.41057627,2487472,3.9085712,1.39,0.24,0.26,0.16,0.58,0.34,14800000,Africa
